waktu,user,tweet
2022-04-01 06:28:52,Lesmono8i,"@SantorinisSun Sholat dijalan, ngaji di trotoar, Giliran masjid ditutup PPKM teriak paling kenceng.."
2022-04-01 06:25:07,TanganImutThofu,@scorpioandroses ppkm level 2😭😭
2022-04-01 06:17:22,Deasy_Liem,"@resta_sukabumi min mau tanya, apa ada kebijakan ganjil genap di sukabumi selama ppkm ?"
2022-04-01 06:17:04,bayoangin98,"@msaid_didu @msaid_didu  ini akibat Pemerintah tidak beri bansos PPKM kepada Said Didu.
Dari ratusan trilyun rupiah… https://t.co/exbsUxNX04"
2022-04-01 06:13:41,TarunaAdjie1,"@KRMTRoySuryo2 yg survey picek om, rakyat sudah makan kulit singkong, artinya rakyat puas jika rezim PPKM ( Planga… https://t.co/OnIe6zYK7W"
2022-04-01 06:10:23,DetaxId,[Hoax] Kebijakan PPKM Level 4 Resmi Dihapus https://t.co/YeseVD26va via @DetaxId
2022-04-01 06:08:22,chaaeryz,ppkm https://t.co/Sgz4dfxa50
2022-04-01 06:07:16,iwoofsushi,Ppkm (plonga plongo kaya monyet)
2022-04-01 06:06:47,koramilkarangm2,Anggota Koramil 19 Tanon melaksanakan Giat  patroli dalam rangka  Pelaksanaan *PPKM LEVEL III* membatasi Mobilitas… https://t.co/HjfZr4kQft
2022-04-01 06:05:33,pacarjuyeon,User pacarjuyeon ppkm era ✨ https://t.co/Nc1s4P1Hi4
2022-04-01 06:01:06,shamshuzi,"Pemerintah Kota (Pemkot) Jayapura, Papua, gencar memvaksinasi lansia (lansia) agar turun menerapkan pembatasan kegi… https://t.co/oZVqr8qwQD"
2022-04-01 05:59:20,Lon3Warrior,"Pelonggaran peraturan PPKM terus dilakukan.. Kapasitas tempat ibadah PPKM level 1 bisa 100%..

Yuk terus dukung Jok… https://t.co/qBPsgSal6a"
2022-04-01 05:57:16,SulianaNgah,"Pemerintah Kota (Pemkot) Jayapura, Papua, gencar memvaksinasi lansia (lansia) agar turun menerapkan pembatasan kegi… https://t.co/ZxvQbWZCwK"
2022-04-01 05:50:00,SunardiFauzi,Anggota Koramil 19 /Tanon melaksanakan Giat  patroli dalam rangka  Pelaksanaan *PPKM LEVEL III* membatasi Mobilitas… https://t.co/EotTHfsoDY
2022-04-01 05:48:15,PradanaDika29,Menteri Agama menyatakan bahwa kapasitas tempat ibadah untuk daerah dengan kondisi PPKM Level 1 bisa 100% https://t.co/wFIEEgOZaC
